Index,Name,TwoHand,Level,ItemSlot,SkillIndex,Width,Height,DamageMin,DamageMax,SuccessfulBlocking,Defense,MagicDefense,WeaponSpeed,WalkSpeed,Durability,MagicDur,MagicPower,RequireStrength,RequireDexterity,RequireEnergy,RequireVitality,RequireCharisma,RequireLevel,Value,Zen,AttType,RequireClass0,RequireClass1,RequireClass2,RequireClass3,RequireClass4,RequireClass5,RequireClass6,Resistance0,Resistance1,Resistance2,Resistance3,Resistance4,Resistance5,Resistance6,Resistance7
10,"Light Saber",1,40,0,22,2,4,47,61,0,0,0,25,0,50,0,0,80,60,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
11,"Legendary Sword",1,44,0,20,2,3,56,72,0,0,0,20,0,54,0,0,120,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
12,"Heliacal Sword",1,56,0,19,2,3,73,98,0,0,0,25,0,66,0,0,140,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
13,"Double Blade",0,48,0,22,1,3,48,56,0,0,0,30,0,43,0,0,70,70,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
14,"Lighting Sword",0,59,0,22,1,3,59,67,0,0,0,30,0,50,0,0,90,50,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
15,"Giant Sword",1,52,0,23,2,3,60,85,0,0,0,20,0,60,0,0,140,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
16,"Sword of Destruction",0,82,0,22,1,4,82,90,0,0,0,35,0,84,0,0,160,60,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
17,"Dark Breaker",1,104,0,23,2,4,128,153,0,0,0,40,0,89,0,0,180,50,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"Thunder Blade",1,105,0,23,2,3,140,168,0,0,0,40,0,86,0,0,180,50,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,"Divine Sword of Archangel",0,86,0,22,1,4,220,230,0,0,0,45,0,168,0,0,140,50,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
20,"Knight Blade",0,140,0,22,1,4,107,115,0,0,0,35,0,90,0,0,116,38,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"Dark Reign Blade",1,140,0,56,2,4,115,142,0,0,0,40,0,100,0,115,116,53,9,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,"Bone Blade",0,147,0,22,1,4,122,135,0,0,0,40,0,95,0,0,100,35,0,0,0,380,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"Explosion Blade",1,147,0,56,2,4,127,155,0,0,0,45,0,110,0,134,98,48,7,0,0,380,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24,"Daybreak",1,115,0,22,2,4,182,218,0,0,0,40,0,90,0,0,192,30,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"Sword Dancer",1,115,0,56,2,4,109,136,0,0,0,40,0,90,0,108,136,57,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,"Flameberge",0,137,0,22,1,4,115,126,0,0,0,40,0,90,0,0,193,53,0,0,0,380,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
27,"Sword Breaker",0,133,0,22,1,4,91,99,0,0,0,35,0,90,0,0,53,176,0,0,0,380,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"Rune Bastard Sword",0,139,0,56,1,4,98,122,0,0,0,45,0,90,0,109,91,73,17,0,0,380,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,"Rune Blade",1,100,0,56,2,4,104,130,0,0,0,35,0,93,0,104,135,62,9,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32,"Sacred Glove",0,52,0,260,1,2,52,58,0,0,0,25,0,65,0,0,85,35,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,"Holy Storm Claw",0,82,0,261,1,2,82,88,0,0,0,30,0,77,0,0,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,"Piercing Blade Glove",0,105,0,260,1,2,95,101,0,0,0,35,0,86,0,0,120,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35,"Phoenix Soul Star",0,147,0,270,1,2,122,128,0,0,0,40,0,98,0,0,101,51,0,0,0,380,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39,"Lighting Sword-J",0,59,0,22,1,3,59,67,0,0,0,35,0,50,0,0,90,50,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
40,"Sacred Glove-J",0,52,0,260,1,2,52,58,0,0,0,30,0,65,0,0,85,35,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
512,"Small Axe",0,1,0,0,1,3,1,6,0,0,0,20,0,18,0,0,50,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
513,"Hand Axe",0,4,0,0,1,3,4,9,0,0,0,30,0,20,0,0,70,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
514,"Double Axe",0,14,0,19,1,3,14,24,0,0,0,20,0,26,0,0,90,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
515,"Tomahawk",0,18,0,19,1,3,18,28,0,0,0,30,0,28,0,0,100,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
516,"Elven Axe",0,26,0,0,1,3,26,38,0,0,0,40,0,32,0,0,50,70,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
517,"Battle Axe",1,30,0,19,2,3,36,44,0,0,0,20,0,36,0,0,120,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
518,"Nikea Axe",1,34,0,19,2,3,38,50,0,0,0,30,0,44,0,0,130,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
519,"Larkan Axe",1,46,0,19,2,3,54,67,0,0,0,25,0,55,0,0,140,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
520,"Crescent Axe",1,54,0,19,2,3,69,89,0,0,0,30,0,65,0,0,100,40,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1024,"Mace",0,7,0,0,1,3,7,13,0,0,0,15,0,21,0,0,100,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
1025,"Morning Star",0,13,0,19,1,3,13,22,0,0,0,15,0,25,0,0,100,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
1026,"Flail",0,22,0,0,1,3,22,32,0,0,0,15,0,32,0,0,80,50,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
1027,"Great Hammer",1,38,0,19,2,3,45,56,0,0,0,15,0,50,0,0,150,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1028,"Crystal Morning Star",1,66,0,19,2,3,78,107,0,0,0,30,0,72,0,0,130,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
1029,"Crystal Sword",1,72,0,23,2,4,89,120,0,0,0,40,0,76,0,0,130,70,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1030,"Chaos Dragon Axe",1,75,0,23,2,4,102,130,0,0,0,35,0,80,0,0,140,50,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1031,"Elemental Mace",0,90,0,0,1,3,62,80,0,0,0,50,0,50,0,0,15,42,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1032,"Battle Scepter",0,54,0,66,1,3,41,52,0,0,0,45,0,40,0,3,80,17,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1033,"Master Scepter",0,72,0,66,1,3,57,68,0,0,0,45,0,45,0,20,87,18,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1034,"Great Scepter",0,82,0,66,1,4,74,85,0,0,0,45,0,65,0,35,100,21,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1035,"Lord Scepter",0,98,0,66,1,4,91,102,0,0,0,40,0,72,0,52,105,23,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1036,"Great Lord Scepter",0,140,0,66,1,4,108,120,0,0,0,40,0,84,0,67,90,20,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1037,"Divine Scepter of Archangel",0,150,0,66,1,4,200,223,0,0,0,45,0,90,0,138,75,16,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1038,"Soleil Sceptor",0,146,0,66,1,4,130,153,0,0,0,40,0,95,0,84,80,15,0,0,0,380,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1039,"Shining Scepter",0,110,0,66,1,4,99,111,0,0,0,40,0,78,0,60,108,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1040,"Frost Mace",0,121,0,0,1,3,106,146,0,0,0,50,0,80,0,0,27,19,0,0,0,380,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1041,"Absolute Scepter",0,135,0,66,1,4,114,132,0,0,0,40,0,90,0,72,119,24,0,0,0,380,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1042,"Striker Scepter",0,147,0,66,1,4,112,124,0,0,0,40,0,86,0,70,87,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1045,"Master Scepter-J",0,72,0,66,1,3,57,68,0,0,0,50,0,45,0,20,87,18,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1536,"Light Spear",1,42,0,22,2,4,50,63,0,0,0,25,0,56,0,0,60,70,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1537,"Spear",1,23,0,0,2,4,30,41,0,0,0,30,0,42,0,0,70,50,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1538,"Dragon Lance",1,15,0,0,2,4,21,33,0,0,0,30,0,34,0,0,70,50,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1539,"Giant Trident",1,29,0,0,2,4,35,43,0,0,0,25,0,44,0,0,90,30,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1540,"Serpent Spear",1,46,0,20,2,4,58,80,0,0,0,20,0,58,0,0,90,30,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1541,"Double Poleaxe",1,13,0,0,2,4,19,31,0,0,0,30,0,38,0,0,70,50,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1542,"Halberd",1,19,0,0,2,4,25,35,0,0,0,30,0,40,0,0,70,50,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1543,"Berdysh",1,37,0,22,2,4,42,54,0,0,0,30,0,54,0,0,80,50,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1544,"Great Scythe",1,54,0,22,2,4,71,92,0,0,0,25,0,68,0,0,90,50,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1545,"Bill of Balrog",1,63,0,22,2,4,76,102,0,0,0,25,0,74,0,0,80,50,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1546,"Dragon Spear",1,92,0,22,2,4,112,140,0,0,0,35,0,85,0,0,170,60,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1547,"Brova",1,147,0,22,2,4,190,226,0,0,0,40,0,90,0,0,152,25,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
2048,"Short Bow",1,2,1,24,2,3,3,5,0,0,0,30,0,20,0,0,20,80,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2049,"Bow",1,8,1,24,2,3,9,13,0,0,0,30,0,24,0,0,30,90,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2050,"Elven Bow",1,16,1,24,2,3,17,24,0,0,0,30,0,28,0,0,30,90,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2051,"Battle Bow",1,26,1,24,2,3,28,37,0,0,0,30,0,36,0,0,30,90,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2052,"Tiger Bow",1,40,1,24,2,4,42,52,0,0,0,30,0,43,0,0,30,100,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2053,"Silver Bow",1,56,1,24,2,4,59,71,0,0,0,40,0,48,0,0,30,100,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2054,"Chaos Nature Bow",1,75,1,24,2,4,88,106,0,0,0,35,0,68,0,0,40,150,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2055,"Bolt",0,0,1,0,1,1,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2056,"Crossbow",1,4,0,24,2,2,5,8,0,0,0,40,0,22,0,0,20,90,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2057,"Golden Crossbow",1,12,0,24,2,2,13,19,0,0,0,40,0,26,0,0,30,90,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2058,"Arquebus",1,20,0,24,2,2,22,30,0,0,0,40,0,31,0,0,30,90,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2059,"Light Crossbow",1,32,0,24,2,3,35,44,0,0,0,40,0,40,0,0,30,90,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2060,"Serpent Crossbow",1,48,0,24,2,3,50,61,0,0,0,40,0,45,0,0,30,100,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2061,"Bluewing Crossbow",1,68,0,24,2,3,68,82,0,0,0,40,0,56,0,0,40,110,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2062,"Aquagold Crossbow",1,72,0,24,2,3,78,92,0,0,0,30,0,60,0,0,50,130,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2063,"Arrow",0,0,0,0,1,1,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2064,"Saint Crossbow",1,84,0,24,2,4,102,127,0,0,0,35,0,72,0,0,50,160,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2065,"Celestial Bow",1,92,1,24,2,4,127,155,0,0,0,35,0,76,0,0,54,198,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2066,"Divine Crossbow of Archangel",1,100,0,24,2,3,224,246,0,0,0,45,0,200,0,0,40,110,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2067,"Great Reign Crossbow",1,100,0,24,2,3,150,172,0,0,0,40,0,80,0,0,61,285,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2068,"Arrow Viper Bow",1,135,1,24,2,4,166,190,0,0,0,45,0,86,0,0,52,245,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2069,"Sylph Wind Bow",1,147,1,24,2,4,177,200,0,0,0,45,0,93,0,0,46,210,0,0,0,380,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2070,"Albatross Bow",1,110,1,24,2,4,155,177,0,0,0,45,0,70,0,0,60,265,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2071,"Dark Stinger",1,134,1,24,2,4,162,184,0,0,0,45,0,80,0,0,32,209,0,0,0,380,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2072,"Aileen Bowr",1,147,1,24,2,4,170,194,0,0,0,45,0,88,0,0,49,226,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2075,"Silver Bow-J",1,56,1,24,2,4,59,71,0,0,0,45,0,48,0,0,30,100,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2560,"Skull Staff",0,6,0,0,1,3,3,4,0,0,0,20,0,0,20,6,40,0,0,0,0,0,0,0,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2561,"Angelic Staff",1,18,0,0,2,3,10,12,0,0,0,25,0,0,38,20,50,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2562,"Serpent Staff",1,30,0,0,2,3,17,18,0,0,0,25,0,0,50,34,50,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2563,"Thunder Staff",1,42,0,0,2,4,23,25,0,0,0,25,0,0,60,46,40,10,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2564,"Gorgon Staff",1,52,0,0,2,4,29,32,0,0,0,25,0,0,65,58,50,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2565,"Legendary Staff",0,59,0,0,1,4,29,31,0,0,0,25,0,0,66,59,50,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2566,"Staff of Resurrection",0,70,0,0,1,4,35,39,0,0,0,25,0,0,70,70,60,10,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2567,"Chaos Lighting Staff",1,75,0,0,2,4,47,48,0,0,0,30,0,0,70,94,60,10,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2568,"Staff of Destruction",1,90,0,0,2,4,50,54,0,0,0,30,0,0,85,101,60,10,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2569,"Dragon Soul Staff",0,100,0,0,1,4,46,48,0,0,0,30,0,0,91,92,52,16,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2570,"Divine Staff of Archangel",0,104,0,0,1,4,153,165,0,0,0,30,0,0,182,156,36,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2571,"Staff of Kundun",0,140,0,0,1,4,55,61,0,0,0,30,0,0,95,110,45,16,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2572,"Grand Viper Staff",0,147,0,0,1,4,66,74,0,0,0,30,0,0,100,130,39,13,0,0,0,380,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2573,"Platina Staff",0,110,0,0,1,4,51,53,0,0,0,30,0,0,78,120,50,16,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2574,"Mystery Stick",0,28,0,0,1,4,17,18,0,0,0,25,0,0,50,34,34,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2575,"Violent Wind Stick",0,42,0,0,1,4,23,25,0,0,0,25,0,0,60,46,33,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2576,"Red Wing Stick",0,59,0,0,1,4,29,31,0,0,0,25,0,0,65,59,36,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2577,"Ancient Stick",0,78,0,0,1,4,38,40,0,0,0,25,0,0,81,76,50,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2578,"Demonic Stick",0,100,0,0,1,4,46,48,0,0,0,30,0,0,91,92,54,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2579,"Storm Blitz Stick",0,110,0,0,1,4,51,53,0,0,0,30,0,0,95,110,64,15,0,0,0,380,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2580,"Eternal Wing Stick",0,147,0,0,1,4,66,74,0,0,0,30,0,0,100,106,57,13,0,0,0,380,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2581,"Book of Samut",0,52,1,223,1,2,0,0,0,0,0,25,0,0,60,46,0,20,135,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2582,"Book of Neil",0,59,1,224,1,2,0,0,0,0,0,25,0,0,65,59,0,25,168,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2583,"Book of Lagle",0,65,1,225,1,2,0,0,0,0,0,25,0,0,50,72,0,30,201,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2590,"Deadly Staff",0,138,0,0,1,4,57,59,0,0,0,30,0,0,91,126,47,18,0,0,0,380,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2591,"Inberial Staff",0,137,0,0,1,4,57,61,0,0,0,30,0,0,182,124,48,14,0,0,0,380,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2593,"Chromatic Staff",0,147,0,0,1,4,55,57,0,0,0,30,0,0,78,124,50,12,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2594,"Raven Stick",0,147,0,0,1,4,70,78,0,0,0,30,0,0,98,130,50,14,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2596,"Divine Stick of the Archangel",0,104,0,0,1,4,153,165,0,0,0,30,0,0,182,146,55,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2598,"Legendary Staff-J",0,59,0,0,1,4,29,31,0,0,0,30,0,0,66,59,50,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2599,"Red Wing Stick-J",0,59,0,0,1,4,29,31,0,0,0,30,0,0,65,59,36,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2600,"Book of Neil-J",0,59,1,224,1,2,0,0,0,0,0,30,0,0,65,59,0,25,168,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3072,"Small Shield",0,3,1,0,2,2,0,0,3,1,0,0,0,22,0,0,70,0,0,0,0,0,0,0,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3073,"Horn Shield",0,9,1,0,2,2,0,0,9,3,0,0,0,28,0,0,100,0,0,0,0,0,0,0,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
3074,"Kite Shield",0,12,1,0,2,2,0,0,12,4,0,0,0,32,0,0,110,0,0,0,0,0,0,0,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
3075,"Elven Shield",0,21,1,0,2,2,0,0,21,8,0,0,0,36,0,0,30,100,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3076,"Buckler",0,6,1,18,2,2,0,0,6,2,0,0,0,24,0,0,80,0,0,0,0,0,0,0,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3077,"Dragon Slayer Shield",0,35,1,18,2,2,0,0,36,10,0,0,0,44,0,0,100,40,0,0,0,0,0,0,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
3078,"Skull Shield",0,15,1,18,2,2,0,0,15,5,0,0,0,34,0,0,110,0,0,0,0,0,0,0,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3079,"Spiked Shield",0,30,1,18,2,2,0,0,30,9,0,0,0,40,0,0,130,0,0,0,0,0,0,0,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
3080,"Tower Shield",0,40,1,18,2,2,0,0,40,11,0,0,0,46,0,0,130,0,0,0,0,0,0,0,4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3081,"Plate Shield",0,25,1,18,2,2,0,0,25,8,0,0,0,38,0,0,120,0,0,0,0,0,0,0,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
3082,"Large Round Shield",0,18,1,18,2,2,0,0,18,6,0,0,0,35,0,0,120,0,0,0,0,0,0,0,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
3083,"Serpent Shield",0,45,1,18,2,2,0,0,45,12,0,0,0,48,0,0,130,0,0,0,0,0,0,0,4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
